16345,7070
38301,9020
3569,3850
16943,2900
15666,5080
32554,6460
41893,990
18735,4900
49270,210
52940,690
6830,6910
271,5260
29051,8000
27524,6640
2001,4880
18022,9280
38281,1970
34122,3560
39727,9160
35946,4480
40902,3610
24792,300
44986,1200
31292,7080
7879,6470
2806,3480
27797,9090
44321,170
7059,930
41789,3060
12422,6110
43452,2260
42004,3760
30124,7200
26720,1730
47047,7910
19314,4000
29733,7960
19605,2160
43574,5120
26701,9060
15140,9330
46114,1730
17638,4600
6552,9660
17855,8210
35763,2510
24425,3560
41687,960
42195,4830
33139,6820
6547,3180
42621,6140
13920,5550
34908,8080
23781,3530
8012,9110
13206,1180
15153,5060
2156,2910
26597,2850
25749,560
18692,6810
25997,2360
24639,2250
36571,2550
52053,780
33429,7750
52708,5550
35266,7800
26991,4770
21525,6630
34052,7930
27812,1160
54660,7800
20768,6260
14372,4080
54210,9260
17794,200
37761,2200
31623,180
5906,4970
13312,9300
39855,5880
16911,7510
52498,2240
41835,6610
28213,9200
31870,6410
44321,170
52834,6950
637,2390
27491,200
54034,3350
4387,3530
15033,1830
16527,6910
40003,2530
28451,500
45305,3150
4022,8600
52225,5100
53980,30
22617,6580
27323,4130
17276,8850
20353,7250
30245,3420
10366,4160
25506,6040
14767,9500
26643,8370
8335,3510
72,6330
11220,1700
25997,2360
1569,2330
49863,190
50269,1560
785,210
10102,7590
43655,6290
52267,5710
21599,9310
38231,3360
38755,3820
22156,5010
48593,4220
26530,390
14138,2570
7131,6020
35374,5320
37233,6130
1640,2170
38281,1970
24425,3560
52046,1190
28346,8890
10906,5430
20637,8480
51337,9680
20879,2070
22816,1210
22857,6460
33193,5170
29164,8900
47160,7560
45117,3550
47922,6080
22725,7240
40509,1110
7059,930
45287,3860
11224,870
27125,4010
8286,1670
53299,7870
18713,7020
43201,9530
23013,5860
13981,9070
47728,7340
2362,5530
33035,8180
41955,940
32324,4850
41454,3590
27059,9320
50959,5750
16085,8390
52046,1190
55359,9010
1187,3570
47564,6770
42809,5660
3779,6510
46832,4300
55421,2750
13051,5340
1081,6970
4304,3170
49622,9100
10107,8680
21630,8010
16691,9410
9769,6330
2308,1710
20476,5440
35489,4800
16120,7680
20027,720
32794,8660
38231,3360
23581,1290
54472,2700
48747,3220
9210,9020
53474,7730
49083,8870
23882,4250
28346,8890
6613,4380
47070,3310
22093,600
11800,3260
8930,9520
40277,7600
28213,9200
36147,8970
17221,9340
19655,5090
35523,1880
10668,7460
49372,5980
29180,7300
38288,640
43933,3990
43836,5930
18334,9450
3361,1030
10840,4980
16931,5130
43654,9420
41176,2140
7159,6010
25187,9620
9381,7150
41937,3840
45351,3320
32516,2030
34884,9620
44186,300
2474,5750
36934,3520
30278,3570
15635,4290
53076,5950
4328,1360
5657,7760
44813,5580
14484,6780
26758,7120
8309,510
18049,9250
11385,270
27222,4270
52628,3340
49424,9160
38597,660
25432,750
45731,7440
46905,1430
54223,1330
26446,7270
42505,8810
6680,6920
34045,4320
7756,6060
48538,4940
53720,2810
39051,5420
23796,3540
47372,9000
17486,5250
6677,7170
4082,3770
1592,3210
8654,6350
9190,1970
52275,2730
17107,6500
30424,7180
39727,9160
18115,1160
46034,2900
49750,2430
37274,3670
18394,320
16526,7550
16822,6760
30300,5430
8654,6350
55032,3180
16374,7170
26826,9560
41594,3480
18180,9050
55273,10
4544,9490
27844,5700
25065,6390
10541,540
27235,6860
28696,5720
49210,9590
8952,8890
15401,4840
16129,1880
20637,8480
12476,6410
25317,8050
51158,1150
6552,9660
5252,1490
18417,7970
31816,6110
2037,3080
43933,3990
42801,2240
20285,3450
47135,7420
33644,3380
18353,680
3099,2400
26597,2850
53557,2690
33682,5950
30580,7600
23734,820
2072,9580
12997,5780
44094,1950
25955,4060
49184,5230
51590,990
40571,310
37507,6230
6301,9460
29307,2110
3756,2290
55554,5140
28709,330
14839,3370
36001,6830
18649,8890
43327,9650
34997,4970
43689,3140
10055,3440
50838,2790
45857,5140
47112,3270
8130,6640
54302,8080
30720,4030
55340,4480
23017,5800
54768,5320
11941,8500
51845,9140
40299,6270
14511,7870
42297,1180
27844,5700
7364,7120
11941,8500
53183,5670
52672,1290
35691,2890
53386,3140
17168,4500
42451,3460
49762,1420
2514,9670
16098,1980
16691,9410
46884,3410
15233,8350
10200,1870
49567,5440
29724,720
45071,5320
26533,580
24985,4140
40596,5830
45009,650
5812,7820
42104,6220
36510,6100
12224,3020
47112,3270
8325,9280
1240,2870
16534,790
50700,950
17964,1580
856,5970
26350,6980
37274,3670
49756,2800
7665,9320
7246,2900
3425,2030
30285,4280
30069,7010
7666,3070
22573,6000
54290,9550
51947,1140
50771,2490
25383,1760
8584,9000
44694,4970
39803,6850
39803,6850
6127,8510
21082,270
40919,6630
29196,1570
5906,4970
27335,4600
23581,1290
46209,7980
44186,300
37358,1580
47238,5700
8819,9200
35389,1920
33113,8600
47545,6530
39233,1460
22251,9120
43201,9530
7654,2340
27490,3410
21795,8550
22955,1190
3008,4020
31880,2180
10386,380
5906,4970
20660,360
33457,6190
52807,9080
23956,440
21706,8250
1243,8480
35763,2510
26959,5790
35153,5290
32238,3750
6026,140
21141,1260
53720,2810
5163,370
47695,2860
31870,6410
47139,670
29816,9590
35129,750
5336,1830
2072,9580
18660,7570
50206,1110
446,6240
12459,5010
21257,1650
37463,7560
37811,7970
3817,8630
72,6330
20078,5770
12709,5560
13360,3460
27235,6860
9134,6080
44497,2220
28887,3470
18602,8240
19573,6880
47913,3950
633,720
22627,4850
22227,8410
42528,5100
5611,1170
31399,1710
46385,4770
41518,3790
29780,380
2901,8380
52882,1890
27552,8210
46479,3640
47044,8230
42356,780
41441,3900
54834,6120
41895,490
53718,4590
47001,6750
35392,9460
29586,6210
49920,2480
30245,3420
26804,6500
54352,6160
21675,880
30822,2280
18467,7040
27420,1120
23766,8710
14325,3870
31952,5040
10884,3570
2870,1240
5054,1510
37427,9640
51463,3800
22807,7890
45089,9460
52100,9300
35559,970
29779,1790
11505,5830
344,3580
40072,3980
18637,7340
54302,8080
1640,2170
23518,9610
11075,190
33190,7090
31717,2980
20883,7600
50173,270
48506,7850
39981,4690
19260,6730
7016,8800
29816,9590
55205,4570
14949,1490
42804,4170
40059,2800
52202,8810
9302,5720
42149,1030
38663,2560
22606,4610
42182,20
33374,5110
29982,3450
28151,6530
42099,4150
47583,4870
20036,7960
46432,8280
24261,6290
21702,1710
211,2160
36279,4920
53386,3140
8309,510
33234,3340
38934,4450
41895,490
11370,910
26320,3230
21321,3910
6016,2010
17667,8720
8073,7840
26388,9410
40345,8140
21257,1650
1834,460
47565,8780
25396,1530
15512,3030
39472,5770
